Reviewer,Rating,Review,Business,Scraped_At,Translated,Original_Language
Lunatic,1 star,"I ordered pasta carbonara,i got bolognese. I try it and it not the best flavour.",Erikslusts Pizzeria Malmö,2025-08-22T09:27:06.025170,False,en
Easiar,5 stars,Lasagne is amazing,Erikslusts Pizzeria Malmö,2025-08-22T09:27:07.078389,False,en
Erik Johansson,1 star,"Very very very bad restaurants with a very disgusting food the food was expired!!! I have throw everything I have got from there once I receive it home it was disgusting The sauce was expired, and the meat was old. Warming don’t buy …",Erikslusts Pizzeria Malmö,2025-08-22T09:27:08.129306,False,en
Wouter Hovius,3 stars,"Great service. Friendly people. The pasta was pretty good. The garlic bread was okay. The fries where very floppy though, almost as if the deepfryer was set way too cold.",Erikslusts Pizzeria Malmö,2025-08-22T09:27:09.096141,False,en
Sean Håkansson,4 stars,"Good local pizzeria with the a la carte usual suspects (burger, kebab, fried fish etc) along with Swedish style pizza. They usually show premier league and other big sporting events (cmore). The regulars can sometimes be a bit loud, but not unpleasant.",Erikslusts Pizzeria Malmö,2025-08-22T09:27:10.282754,False,en
Anas,5 stars,"We enjoyed the delicious pizza, and the person handling our order was not only pleasant but also very efficient, ensuring a quick and smooth service. Overall, it was a very good experience.",Erikslusts Pizzeria Malmö,2025-08-22T09:27:11.328625,False,en
Luis Miguel Coral,5 stars,Good and fast service. Easy to access location to pick up delivery. Food as good as expected,Erikslusts Pizzeria Malmö,2025-08-22T09:27:12.329268,False,en
Niklas Breiler,1 star,"Too sweet tomato sauce, too floury dough which makes bread hard and the whole thing taste like a cookie. The ham wasn't very good either.",Erikslusts Pizzeria Malmö,2025-08-22T09:27:13.353787,False,en
garget kumet,5 stars,"very friendly staff, greattt vegan pizza! 2nd time in 5 days weve spent here. recommend! :)",Erikslusts Pizzeria Malmö,2025-08-22T09:27:14.423570,False,en
Erik Wilhelm Border,5 stars,Hands down my favourite pizza in Malmö. Great quality and value for money ✓,Erikslusts Pizzeria Malmö,2025-08-22T09:27:15.443689,False,en
Dennis Södergren,4 stars,Wonderful pizzas and friendly staff! Have a beer while you wait or sit down with a free friends!,Erikslusts Pizzeria Malmö,2025-08-22T09:27:16.482986,False,en
Ingrid Holmquist,3 stars,Gets the job (pizzas) done quickly and at a reasonable price. Always friendly,Erikslusts Pizzeria Malmö,2025-08-22T09:27:17.520376,False,en
Levente Sterczer,1 star,"Not good I ordered spaghetti bolognese, and I got spaghetti in smör. …",Erikslusts Pizzeria Malmö,2025-08-22T09:27:19.409113,False,en
khurram Butt (Foodies),3 stars,"An average Restaurant , Pizza is tasty if you are pizza lover.",Erikslusts Pizzeria Malmö,2025-08-22T09:27:20.591555,False,en
Faero L.Z. Wu,3 stars,Nothing to do with the real Italian pizza... but if you forget about that it's ok- ish...,Erikslusts Pizzeria Malmö,2025-08-22T09:27:22.607520,False,en
Juan Arambulo,5 stars,"Great place to eat and watch football, pizza was topnotch! …",Erikslusts Pizzeria Malmö,2025-08-22T09:27:24.597054,False,en
william,4 stars,Very nice fresh mushrooms on the pizza,Erikslusts Pizzeria Malmö,2025-08-22T09:27:25.625267,False,en
Moustafa Kassem,1 star,Very bad pizza quality. It is not pizza it is a bread,Erikslusts Pizzeria Malmö,2025-08-22T09:27:27.976862,False,en
