Reviewer,Rating,Review,Business,Scraped_At,Translated,Original_Language
ebba nilo,3 stars,"The beer tasted lunchbox. Fries were ok but im not sure about the special sauce. It was like a garlic mayonnaise with sugar, nu uh, made me feel weird for the rest of the night. But generally a nice local bar and just the right amount of dirty! …",Rex,2025-08-22T09:35:03.258818,False,
Henrik Roos,4 stars,"A water hole that represents the best of everything that Malmö are. The service gives you warm people, and the pizza is not bad at all here. …",Rex,2025-08-22T09:35:03.291219,False,
Happy Traveler,2 stars,This margherita pizza was not worth 95sek. It tastes like a toast with cheese. A bit disappointed.,Rex,2025-08-22T09:35:03.323699,False,
Aram de Vries,4 stars,Atmosphere that makes you want to want to spend your summer here. Pizzas that hit the spot on any bender. Warmly recommended!,Rex,2025-08-22T09:35:03.354775,False,
Hedda Donning,5 stars,Very good sunny outside area. Though there was a tree in the way.,Rex,2025-08-22T09:35:03.384541,False,
Gerry Rodan,4 stars,"Large choice of pizza (including vegan), cheap beers, often parties or other events in the basement during the weekend. very friendly atmosphere and unpretentious.",Rex,2025-08-22T09:35:03.415270,False,
Wanderlust Ian,4 stars,Warm welcome from the staffs. The lady who served drinks was very friendly. Nice outdoor seats if you wanna enjoy the sun. Price is reasonable.,Rex,2025-08-22T09:35:03.446248,False,
Alice H,1 star,"I’m vegan and I’ve been eating here from time to time and I would say it’s the better pizza places out of the low tiers… but today me and my friend were served cow cheese on our vegetarian(mostly vegan) pizzas even though we asked for vegan cheese. A bit of a bummer I have to say, but never again.",Rex,2025-08-22T09:35:03.476324,False,
MilicaKnezevic,5 stars,"Typical neighborhood bar. Nothing special on the outside, nothing special on the inside but it has so much life and atmosphere that it draws you in. Recommended!",Rex,2025-08-22T09:35:03.506146,False,
Erfan Nasoori,4 stars,"Nice place for gathering, but please fix the light bulbs down stairs if that's part of your business. Next time I guess we should bring our torches with ourselves to light up the room.",Rex,2025-08-22T09:35:03.536161,False,
Daniel,5 stars,"Just ran into this pub/pizzeria and was super surprised by the pizza. Hands down, I did not have such a good pizza in a while and did not expect it to be that good to be honest (having judged by the pub’s outer appearance). Plus, we were …",Rex,2025-08-22T09:35:03.567790,False,
Ola Hindmo,4 stars,"+ Pizza is good (thin, crisp bottom, perfect amount of filling) + Serves beer and wine + serving outside had evening sun so the place has potential. …",Rex,2025-08-22T09:35:03.597494,False,
Maria Lindgren,5 stars,"I never write reviews..but I feel like this place is such a little gem, not trying too hard to be anything else then what it is. The thing that does it for me here is the thin crust, good cheese and tomato sauce...good veggie pizza options …",Rex,2025-08-22T09:35:03.627901,False,
Hortensia Epona,5 stars,"Malmös living room! Great bar food, biljardtables, stand up shows and fun music.",Rex,2025-08-22T09:35:03.657282,False,
Semavi Ulusoy,5 stars,"You need to order on the bar. Pizza was outstanding, while schnitzel was really made bu Coop probably. So... Go for pizza in any case …",Rex,2025-08-22T09:35:03.686078,False,
Sofia Bjarno,5 stars,The most amazing glutenfree pizza in Malmö. They allow dogs and have the best attitude ever. Sweet staff and will serve at the table!!,Rex,2025-08-22T09:35:03.714947,False,
Lari Pitkäkangas,3 stars,"Pub, pizzeria, pool, people. What more do you need. Still something is lacking, probably a real bar would help.",Rex,2025-08-22T09:35:03.744324,False,
Markus Robert,5 stars,BEST PIZZA EVER! I ordered a Marinara with ham but sadly i got the wrong pizza (Margerita with ham) deliviered to my home. I asked them to send me the right pizza and so they later did. I got hungry while waiting so i ate some of the …,Rex,2025-08-22T09:35:03.773196,False,
Sam Shafer,3 stars,"Super expensive beer, small thin pizzas",Rex,2025-08-22T09:35:03.802096,False,
Mikael af Petersens,4 stars,"Very good Pizza! Actually decent value overall, despite the beer being priced just a tad above cheap. Will reccomend!",Rex,2025-08-22T09:35:03.831086,False,
Frans Bjorkstam,4 stars,"Cute little local pub close to Nobel square, fair prices and okay pizza (and they even make vegan options), tends to be visited by an interesting mix of younger hipsters and older locals, one of the legendary sunkhaks (shabby joints) of Nobel",Rex,2025-08-22T09:35:03.862318,False,
Julian Kancko,4 stars,"Really good pizza, decent beer selection, and a good atmosphere. They also have a big coffee table to play board games on!",Rex,2025-08-22T09:35:03.893051,False,
Patrick Doorly,5 stars,5 stars - try the pizza,Rex,2025-08-22T09:35:03.922176,False,
Guillermo Cavieses,2 stars,"Pizzas are ok, but they serve the worst failed attempt at saucesea for their pizzas I've ever tasted. Stay away from the bearnease! Beer is ok",Rex,2025-08-22T09:35:03.952088,False,
Ana Carv,4 stars,"It looks a little run down, but it's a really nice pub. The employees are welcoming, the pizza is great, the prices are fair and they are dog friendly.",Rex,2025-08-22T09:35:03.980503,False,
Orfeas Kalipolitis,5 stars,"Very nice place to hang out with friends. You can drink beer, order pizza and shoot some pool. All around a good time.",Rex,2025-08-22T09:35:04.010779,False,
Sebastian Barrientos,4 stars,"Great, cheap pizza. You can use the basement for events for free if the people consume drinks and food from the bar.",Rex,2025-08-22T09:35:04.039954,False,
Andreas Michael Uhlmann,5 stars,"A bar how I like them - great mixed crowd. David, the bartender was very helpful.",Rex,2025-08-22T09:35:04.069276,False,
Nico S.,5 stars,Great place with quick staff! Sometimes they host some events in the basement! Can recommend!,Rex,2025-08-22T09:35:04.099512,False,
Tobias Fairbairn,3 stars,One of the oldest pubs in town with a long history. Good atmosphere and there is a pool table available!,Rex,2025-08-22T09:35:04.129926,False,
khurram Butt (Foodies),4 stars,"Nice place if you love to meet people friendly atmosphere, play Snooker, Play Bingo. Eat Pizza and A Bar for drinking lover.",Rex,2025-08-22T09:35:04.160752,False,
Malin Svensson,4 stars,"Love the atmosphere and the options of ping pong, billiard and cheap beer. Also good and cheap vegan pizza options!",Rex,2025-08-22T09:35:04.191218,False,
Andy McCourt,4 stars,Cheap and cheerful bar with great pizza. Cheap pool and other bar games available. Accepts Swish payments too!,Rex,2025-08-22T09:35:04.222599,False,
Dan Williams,5 stars,Amazing gluten free pizza. Best we had in all of Scandinavia!,Rex,2025-08-22T09:35:04.251768,False,
László Tímár,5 stars,"Nice place, full on weekends.",Rex,2025-08-22T09:35:04.281517,False,
Malmö Big Mamas Malmö RY Yildirim,5 stars,Best place in Malmo! I recommend,Rex,2025-08-22T09:35:04.311727,False,
Elias Hemmilä,5 stars,"Absolute top place, staff is incredibly friendly and the food is out of this world! Absolutely recommend",Rex,2025-08-22T09:35:04.340874,False,
amir ebrahim,5 stars,Delicious foods. Behavior is top notch. Loved this place.,Rex,2025-08-22T09:35:04.370231,False,
Stellan Viking,5 stars,Great Club with Friendly Crew / Fantastic Live Jazz Music Down in the Basement …,Rex,2025-08-22T09:35:04.400182,False,
Srikanth Cherla,5 stars,"Great buzz, friendly staff and delicious pizzas!",Rex,2025-08-22T09:35:04.431693,False,
Pier Pedram,1 star,Worst owner and service. Delivers wrong and don't care!,Rex,2025-08-22T09:35:04.465124,False,
Vero Lin,5 stars,Great pub with outdoor seating and a basement for events,Rex,2025-08-22T09:35:04.494487,False,
Mahdi El Mahdi,4 stars,Good pizza. Lots of vegan options too,Rex,2025-08-22T09:35:04.524559,False,
Dario Salvi,4 stars,Warm and friendly pub for all ages.,Rex,2025-08-22T09:35:04.555870,False,
Nat Zacharias,5 stars,Good and cheap pizza with a large selection of vegan pizza options,Rex,2025-08-22T09:35:04.584500,False,
divina Levrini,5 stars,Veganpizza går hem anytime,Rex,2025-08-22T09:35:04.612722,False,
Emma He,3 stars,Ok pizza.. Really nice stand up in the basement,Rex,2025-08-22T09:35:04.641713,False,
Mohamed Hussien,4 stars,Nice bar with good pizza!,Rex,2025-08-22T09:35:04.673081,False,
DanTheMan,3 stars,Charmig and shabby standup in the basement.,Rex,2025-08-22T09:35:04.702220,False,
Joan Rocher,4 stars,The pizza was good and the water was free.,Rex,2025-08-22T09:35:04.730880,False,
Johan V,3 stars,"Atmosphere good, food not the best",Rex,2025-08-22T09:35:04.761021,False,
Dr. Shan,5 stars,"Love this place for pizza, and beer!",Rex,2025-08-22T09:35:04.790431,False,
Ida Allgulander,3 stars,Vegan pizza options. A lot of drunks though,Rex,2025-08-22T09:35:04.820974,False,
Khurram Tirmezi,5 stars,Good pizzas and very friendly service,Rex,2025-08-22T09:35:04.850372,False,
Rich S,5 stars,Lovely pizza .. good vibes,Rex,2025-08-22T09:35:04.880329,False,
MOHSIN SALEEM,2 stars,Bad experience with staff and food packaging,Rex,2025-08-22T09:35:04.909402,False,
sacken,5 stars,chill,Rex,2025-08-22T09:35:04.939405,False,
blomster Zia,4 stars,"Great pizza, nice atmosphere.",Rex,2025-08-22T09:35:04.968200,False,
Eugen F,5 stars,Nice place with nice prices and billiards,Rex,2025-08-22T09:35:04.996037,False,
Suzanne Snowden,5 stars,Great gluten free pizzas!,Rex,2025-08-22T09:35:05.025852,False,
Sergio Silva,2 stars,just ok,Rex,2025-08-22T09:35:05.056257,False,
Nataša Krstev,5 stars,Nice place with beautiful pizza …,Rex,2025-08-22T09:35:05.085369,False,
shabnam kasraei,4 stars,a cozy place to have a beer,Rex,2025-08-22T09:35:05.115413,False,
Farry Mrt,5 stars,Its nice place and friendly personals,Rex,2025-08-22T09:35:05.144034,False,
Yassine Makboul,2 stars,Not tge best quality food,Rex,2025-08-22T09:35:05.172650,False,
jessica lowe,5 stars,The best.,Rex,2025-08-22T09:35:05.201156,False,
Martin Efternamn,5 stars,Amazing vegan pizza,Rex,2025-08-22T09:35:05.230339,False,
Desmond Dibba,1 star,"god pizza, bull personal",Rex,2025-08-22T09:35:05.259219,False,
Samuel Joness,4 stars,Good place to be with friends,Rex,2025-08-22T09:35:05.288330,False,
aneeq,5 stars,tasty,Rex,2025-08-22T09:35:05.318144,False,
Freddie Müller,4 stars,Soft,Rex,2025-08-22T09:35:05.349381,False,
Justin Kristensen,3 stars,Great,Rex,2025-08-22T09:35:05.379398,False,
Tea Novak,5 stars,Good pizza …,Rex,2025-08-22T09:35:05.410165,False,
Richard Pollyn,5 stars,Fantastic service,Rex,2025-08-22T09:35:05.439653,False,
Dejan Ćirić,5 stars,Super,Rex,2025-08-22T09:35:05.469597,False,
Sascha,5 stars,Nice Pizza,Rex,2025-08-22T09:35:05.498838,False,
Jesper Brunholm,3 stars,No review text,Rex,2025-08-22T09:35:05.524192,False,
Qonstantin Braeburn,4 stars,No review text,Rex,2025-08-22T09:35:05.549306,False,
Guillem Farré,5 stars,Great food,Rex,2025-08-22T09:35:05.578108,False,
Dannera,5 stars,Nice pizza,Rex,2025-08-22T09:35:05.607467,False,
Imri Terzija,5 stars,…,Rex,2025-08-22T09:35:05.638402,False,
Calle Heurlin,5 stars,"Just took a pizza for takeout but very mixed with guests, everyone seemed happy, plenty of space and a small outdoor seating area. The staff was nice and the pizza was really nice. What more could you ask for from a neighborhood restaurant?",Rex,2025-08-22T09:35:05.668340,False,
Hossam Hourani,5 stars,"The pizza was good, a typical greasy pizza, which I like, and with a good price. Several different types of vegan pizzas are offered. …",Rex,2025-08-22T09:35:05.697703,False,
Rikard,4 stars,"A nice and spacious pizzeria that also has a pool table and slot machines. OK food, relatively large selection of beers. Fair prices. Very nice and service-minded staff.",Rex,2025-08-22T09:35:05.727517,False,
Robert Strandberg,5 stars,"Well, shared a PIZZA with Dad. Kebab DeLuxe TODAY 124:-. Played Billiards 8-Ball a 20:-, but you CANNOT LIFT UP LOWERED Balls. Beer from 55:- to 75:-. GOOD COMMUNITY... A NICE CHOICE.. …",Rex,2025-08-22T09:35:05.758125,False,
Navid Fard,4 stars,"Classic neighborhood restaurant with good pizzas, lots of flavor and not too small in content. One of the most generous pizzas you can eat, stinginess does not exist here, the only downside is that the pizza is quite greasy, the pizza is dripping with oil. Recommended when you are hungover on a gray Sunday …",Rex,2025-08-22T09:35:05.786651,False,
Ronja Ros,4 stars,"Cheap beer, good pizza, nice atmosphere and a little too crowded to play pool but I love it …",Rex,2025-08-22T09:35:05.816668,False,
Markus Hagström,5 stars,"Vattenhålet, very strong and legendary place. Good pizzas and nice hangout, possibility for billiards, video slots and more.. Jetski simply",Rex,2025-08-22T09:35:05.844391,False,
Mina Helin,1 star,"Otherwise I think it's good at Rex but had a pretty sad experience ordering pizza on Christmas Eve. Had called the day before to make sure they were open, got a response by 5:00 PM. We call at 3:45 PM and get a response that it's closed and the woman quickly hung up. They clearly didn't want any more orders.",Rex,2025-08-22T09:35:05.872238,False,
Hoffsson,3 stars,Quite okay pizza! Took a vegetarian kebab pizza and a chicken pizza. Would have liked more salt in the dough and a crispier bottom. The topping and the white sauce were good. Nice staff but a little confused.,Rex,2025-08-22T09:35:05.900381,False,
